table,project,link,sponsors,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,eDrive,http://dubhacks17f.devpost.com/submissions/80063-edrive,Best Transportation-Related Hack,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Projectr,http://dubhacks17f.devpost.com/submissions/80070-projectr,"Best use of storytelling (+ Marvel API), Best .TECH domain, MLH - Best Domain Name from Domain.com",,,,,,,,,,,,,,,,,,,,,,,,,,,
38,TransVid,http://dubhacks17f.devpost.com/submissions/80075-transvid,"Best use of Microsoft technology, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PikoMenu,http://dubhacks17f.devpost.com/submissions/80080-pikomenu,Best use of Microsoft technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Accessify,http://dubhacks17f.devpost.com/submissions/80081-accessify,Best use of Microsoft technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,EyeDentify,http://dubhacks17f.devpost.com/submissions/80082-eyedentify,Best use of Microsoft technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Images for Alt,http://dubhacks17f.devpost.com/submissions/80085-images-for-alt,"Best use of Microsoft technology, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Stay With Us 2.0,http://dubhacks17f.devpost.com/submissions/80087-stay-with-us-2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Simplify,http://dubhacks17f.devpost.com/submissions/80088-simplify,Google API Prize,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CheckAttendance,http://dubhacks17f.devpost.com/submissions/80089-checkattendance,Best use of Microsoft technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Fake Factory,http://dubhacks17f.devpost.com/submissions/80090-fake-factory,MLH - Amazon Web Services - Best Use of AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,RETROSPECT AND PREDICTION FOR NBA,http://dubhacks17f.devpost.com/submissions/80091-retrospect-and-prediction-for-nba,Best use of Microsoft technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Vivid Vision,http://dubhacks17f.devpost.com/submissions/80092-vivid-vision,Google API Prize,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,CollabVR,http://dubhacks17f.devpost.com/submissions/79939-collabvr,MLH - Amazon Web Services - Best Use of AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,tamaGO!,http://dubhacks17f.devpost.com/submissions/79942-tamago,MLH - Amazon Web Services - Best Use of AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Haunted Calculator,http://dubhacks17f.devpost.com/submissions/79949-haunted-calculator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,You are not alone!,http://dubhacks17f.devpost.com/submissions/79953-you-are-not-alone,Google API Prize,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Doe Rae Me,http://dubhacks17f.devpost.com/submissions/79954-doe-rae-me,"Best use of storytelling (+ Marvel API), Best use of Microsoft technology",,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ThingoLingo,http://dubhacks17f.devpost.com/submissions/79959-thingolingo,"Best use of Microsoft technology, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Lighthouse,http://dubhacks17f.devpost.com/submissions/79970-lighthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Razzle,http://dubhacks17f.devpost.com/submissions/79975-razzle,Best use of BlackRock API,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,A11yText - Accessible Education,http://dubhacks17f.devpost.com/submissions/79994-a11ytext-accessible-education,"MLH - Best Domain Name from Domain.com, Best use of Microsoft technology",,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Safe Paths,http://dubhacks17f.devpost.com/submissions/79999-safe-paths,"Help people live safer, more secure lives leveraging Liberty Mutualâ€™s Shine API, Best use of storytelling (+ Marvel API), MLH - Best Domain Name from Domain.com",,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Reduce Mental Health Stigma,http://dubhacks17f.devpost.com/submissions/80021-reduce-mental-health-stigma,Best use of storytelling (+ Marvel API),,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Mentor Me,http://dubhacks17f.devpost.com/submissions/80025-mentor-me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Meme2Go,http://dubhacks17f.devpost.com/submissions/80039-meme2go,Best use of Microsoft technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Luispectacular,http://dubhacks17f.devpost.com/submissions/80086-luispectacular,Best use of Microsoft technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Storyhunter,http://dubhacks17f.devpost.com/submissions/79931-storyhunter,"Accolade - Best Healthcare Hack, Best use of storytelling (+ Marvel API), MLH - Best Domain Name from Domain.com, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Free Checkup,http://dubhacks17f.devpost.com/submissions/79932-free-checkup,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,CrimeViz,http://dubhacks17f.devpost.com/submissions/79933-crimeviz,"Help people live safer, more secure lives leveraging Liberty Mutualâ€™s Shine API, Best Transportation-Related Hack, Best .TECH domain, MLH - Amazon Web Services - Best Use of AWS, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
